Type,Name
Sport Clubs & Recreation,Michigan Drone Racing
Science/Technology/Engineering,Michigan E-Jetski
Science/Technology/Engineering,Michigan Eco-Solutions Initiative
Service/Service Learning,Michigan Eco-Solutions Initiative
Environmental,Michigan Eco-Solutions Initiative
Activism,Michigan EcoData
Science/Technology/Engineering,Michigan EcoData
Health & Wellness,Michigan EcoData
Sport Clubs & Recreation,Michigan EcoData
Environmental,Michigan EcoData
Academic/Honor Societies,Michigan Ecology and Evolutionary Biology Society
Science/Technology/Engineering,Michigan Ecology and Evolutionary Biology Society
Environmental,Michigan Ecology and Evolutionary Biology Society
Academic/Honor Societies,Michigan Economics Society
Graduate/Professional,Michigan Economics Society
Academic/Honor Societies,Michigan Electric Racing
Graduate/Professional,Michigan Electric Racing
Environmental,Michigan Electric Racing
Creative & Performing Arts,Michigan Electronic Music Collective
Science/Technology/Engineering,Michigan Electronic Music Collective
Media & Creative Writing,Michigan Electronic Music Collective
Health & Wellness,Michigan Emergency Medical Services Club
Service/Service Learning,Michigan Emergency Medical Services Club
Science/Technology/Engineering,Michigan Emergency Medicine Club 
Health & Wellness,Michigan Emergency Medicine Club 
Service/Service Learning,Michigan Emergency Medicine Club 
Environmental,Michigan Energy Club
Activism,Michigan Entrepreneur's Alliance
Graduate/Professional,Michigan Entrepreneur's Alliance
Health & Wellness,Michigan Entrepreneur's Alliance
Sport Clubs & Recreation,Michigan Equestrian Team
Academic/Honor Societies,Michigan Equity Research Club
Academic/Honor Societies,Michigan European Law Organization
Cultural/Ethnic,Michigan European Law Organization
Graduate/Professional,Michigan European Law Organization
Creative & Performing Arts,Michigan Fabrication
Science/Technology/Engineering,Michigan Fabrication
Graduate/Professional,Michigan Fashion Media Summit
Media & Creative Writing,Michigan Fashion Media Summit
Business & Entrepreneurship,Michigan Fashion Media Summit
Academic/Honor Societies,Michigan Female Advising & Mentorship
Business & Entrepreneurship,Michigan Female Advising & Mentorship
Health & Wellness,Michigan FemTech
Health & Wellness,Michigan Field Hockey Club
Sport Clubs & Recreation,Michigan Field Hockey Club
Academic/Honor Societies,Michigan Finance and Entrepreneurship Club
Academic/Honor Societies,Michigan Finance and Mathematics Society
Graduate/Professional,Michigan Finance and Mathematics Society
Academic/Honor Societies,Michigan FinTech
Science/Technology/Engineering,Michigan FinTech
Sport Clubs & Recreation,Michigan Fishing
Environmental,Michigan Fishing
Media & Creative Writing,Michigan Football Analytics Society
Sport Clubs & Recreation,Michigan Football Analytics Society
Activism,Michigan Foreign Policy Council
Academic/Honor Societies,Michigan Foreign Policy Council
Governance,Michigan Foreign Policy Council
Sport Clubs & Recreation,Michigan Games and Cards
Sport Clubs & Recreation,Michigan Golf League
Creative & Performing Arts,Michigan Gospel Chorale
Cultural/Ethnic,Michigan Gospel Chorale
Religious/Spiritual,Michigan Gospel Chorale
Service/Service Learning,Michigan Gospel Chorale
Graduate/Professional,Michigan Graduate Consulting Club
Science/Technology/Engineering,Michigan Hackers
Science/Technology/Engineering,Michigan Health Aid
Graduate/Professional,Michigan Health Aid
Health & Wellness,Michigan Health Aid
Service/Service Learning,Michigan Health Aid
Graduate/Professional,Michigan Health Law Organization
Health & Wellness,Michigan Health Law Organization
Graduate/Professional,Michigan Healthcare Executives Student Association
Activism,Michigan Hillel
Creative & Performing Arts,Michigan Hillel
Cultural/Ethnic,Michigan Hillel
Governance,Michigan Hillel
Graduate/Professional,Michigan Hillel
Health & Wellness,Michigan Hillel
Media & Creative Writing,Michigan Hillel
Religious/Spiritual,Michigan Hillel
Service/Service Learning,Michigan Hillel
Social Fraternity/Sorority,Michigan Hillel
Sport Clubs & Recreation,Michigan Hillel
Environmental,Michigan Hillel
Gender/Sexuality,Michigan Hillel
Creative & Performing Arts,Michigan Ice Carving Team
Activism,Michigan Immigration and Labor Law Association
Cultural/Ethnic,Michigan Immigration and Labor Law Association
Graduate/Professional,Michigan Immigration and Labor Law Association
Service/Service Learning,Michigan Immigration and Labor Law Association
Academic/Honor Societies,Michigan Impact Investing Symposium 
Graduate/Professional,Michigan Impact Investing Symposium 
Environmental,Michigan Impact Investing Symposium 
Graduate/Professional,Michigan India Conference
Academic/Honor Societies,Michigan Innovative Marketing 
Media & Creative Writing,Michigan Innovative Marketing 
Business & Entrepreneurship,Michigan Innovative Marketing 
Academic/Honor Societies,Michigan Interactive Investments
Graduate/Professional,Michigan Interactive Investments
Business & Entrepreneurship,Michigan Interactive Investments
Sport Clubs & Recreation,Michigan Intercollegiate Polo Club
Cultural/Ethnic,Michigan Interfaith Initiative
Religious/Spiritual,Michigan Interfaith Initiative
Academic/Honor Societies,Michigan International Law Moot Court Association  
Graduate/Professional,Michigan International Law Moot Court Association  
Cultural/Ethnic,Michigan International Student Anthropology Association
Graduate/Professional,Michigan International Student Anthropology Association
Activism,Michigan International Students Society
Cultural/Ethnic,Michigan International Students Society
Governance,Michigan International Students Society
Graduate/Professional,Michigan International Students Society
Service/Service Learning,Michigan International Students Society
Science/Technology/Engineering,Michigan Interventional Radiology Interest Group
Graduate/Professional,Michigan Interventional Radiology Interest Group
Health & Wellness,Michigan Interventional Radiology Interest Group
Academic/Honor Societies,Michigan Investment Banking Club
Business & Entrepreneurship,Michigan Investment Banking Club
Science/Technology/Engineering,Michigan Investment Group
Graduate/Professional,Michigan Investment Group
Business & Entrepreneurship,Michigan Investments and Research
Creative & Performing Arts,Michigan Izzat
Cultural/Ethnic,Michigan Izzat
Academic/Honor Societies,Michigan Journal of Asian Studies
Cultural/Ethnic,Michigan Journal of Asian Studies
Media & Creative Writing,Michigan Journal of Asian Studies
Academic/Honor Societies,Michigan Journal of Business
Media & Creative Writing,Michigan Journal of Business
Media & Creative Writing,Michigan Journal of Economics
Academic/Honor Societies,Michigan Journal of Environmental and Administrative Law 
Graduate/Professional,Michigan Journal of Environmental and Administrative Law 
Media & Creative Writing,Michigan Journal of Environmental and Administrative Law 
Environmental,Michigan Journal of Environmental and Administrative Law 
Academic/Honor Societies,Michigan Journal of Gender and Law
Graduate/Professional,Michigan Journal of Gender and Law
Gender/Sexuality,Michigan Journal of Gender and Law
Activism,Michigan Journal of International Affairs
Academic/Honor Societies,Michigan Journal of International Affairs
Cultural/Ethnic,Michigan Journal of International Affairs
Governance,Michigan Journal of International Affairs
Media & Creative Writing,Michigan Journal of International Affairs
Academic/Honor Societies,Michigan Journal of International Law
Graduate/Professional,Michigan Journal of International Law
Science/Technology/Engineering,Michigan Journal of Medicine
Graduate/Professional,Michigan Journal of Medicine
Media & Creative Writing,Michigan Journal of Medicine
Academic/Honor Societies,Michigan Journal of Political Science
Media & Creative Writing,Michigan Journal of Political Science
Graduate/Professional,Michigan Journal of Public Affairs
Media & Creative Writing,Michigan Journal of Public Affairs
Activism,Michigan Journal of Race & Law
Academic/Honor Societies,Michigan Journal of Race & Law
Graduate/Professional,Michigan Journal of Race & Law
Creative & Performing Arts,Michigan Knitting 
Health & Wellness,Michigan Knitting 
Service/Service Learning,Michigan Knitting 
Activism,Michigan Law & Political Economy
Activism,Michigan Law Veterans Society
Academic/Honor Societies,Michigan Law Veterans Society
Cultural/Ethnic,Michigan Law Veterans Society
Governance,Michigan Law Veterans Society
Graduate/Professional,Michigan Law Veterans Society
Health & Wellness,Michigan Law Veterans Society
Service/Service Learning,Michigan Law Veterans Society
Gender/Sexuality,Michigan Law Veterans Society
Creative & Performing Arts,Michigan Magic
Service/Service Learning,Michigan Magic
Creative & Performing Arts,Michigan Manzil
Cultural/Ethnic,Michigan Manzil
Health & Wellness,Michigan Manzil
Graduate/Professional,Michigan Marketing Club
Academic/Honor Societies,Michigan Mars Rover Team
Science/Technology/Engineering,Michigan Mars Rover Team
Service/Service Learning,Michigan Mars Rover Team
Creative & Performing Arts,Michigan Mastani
Cultural/Ethnic,Michigan Mastani
Academic/Honor Societies,Michigan Materials Society
Science/Technology/Engineering,Michigan Materials Society
Graduate/Professional,Michigan Materials Society
Graduate/Professional,Michigan Medicine First in Family 
Sport Clubs & Recreation,Michigan Men's Club Soccer - UMMCS
Sport Clubs & Recreation,Michigan Men's Reserve Lacrosse Team
Health & Wellness,Michigan Men's Volleyball
Sport Clubs & Recreation,Michigan Men's Volleyball
Academic/Honor Societies,Michigan Microbiology & Immunology Club
Academic/Honor Societies,Michigan Microcap Trading Association
Activism,Michigan Model Congress
Academic/Honor Societies,Michigan Model Congress
Governance,Michigan Model Congress
Activism,Michigan Movement 
Health & Wellness,Michigan Movement 
Service/Service Learning,Michigan Movement 
Sport Clubs & Recreation,Michigan Mudbowl Club
Health & Wellness,Michigan Muscle Club
Sport Clubs & Recreation,Michigan Muscle Club
Creative & Performing Arts,Michigan Music Business Club
Science/Technology/Engineering,Michigan Neuroprosthetics
Health & Wellness,Michigan Neuroprosthetics
Service/Service Learning,Michigan Neuroprosthetics
Health & Wellness,Michigan Nordic Ski Club
Sport Clubs & Recreation,Michigan Nordic Ski Club
Activism,Michigan Open Discourse
Sport Clubs & Recreation,Michigan Paintball Club Ann Arbor
Activism,Michigan Parity Project
Graduate/Professional,Michigan Parity Project
Creative & Performing Arts,Michigan Parkour
Health & Wellness,Michigan Parkour
Sport Clubs & Recreation,Michigan Parkour
Activism,Michigan Parliamentary Debate 
Academic/Honor Societies,Michigan Parliamentary Debate 
Creative & Performing Arts,Michigan Parliamentary Debate 
Cultural/Ethnic,Michigan Parliamentary Debate 
Governance,Michigan Parliamentary Debate 
Activism,Michigan Parole Preparation Project
Service/Service Learning,Michigan Parole Preparation Project
Activism,Michigan Pencils of Promise
Service/Service Learning,Michigan Pencils of Promise
Academic/Honor Societies,Michigan Performance Investments
Activism,Michigan Performance Outreach Workshop
Creative & Performing Arts,Michigan Performance Outreach Workshop
Service/Service Learning,Michigan Performance Outreach Workshop
Creative & Performing Arts,Michigan Photography Club
Graduate/Professional,Michigan Photography Club
Media & Creative Writing,Michigan Photography Club
Sport Clubs & Recreation,Michigan Poker Club
Creative & Performing Arts,Michigan Pole Dance Society
Health & Wellness,Michigan Pole Dance Society
Sport Clubs & Recreation,Michigan Pole Dance Society
Gender/Sexuality,Michigan Pole Dance Society
Activism,Michigan Political Consulting 
Governance,Michigan Political Consulting 
Graduate/Professional,Michigan Political Consulting 
Media & Creative Writing,Michigan Political Consulting 
Creative & Performing Arts,Michigan Pompon
Health & Wellness,Michigan Pompon
Sport Clubs & Recreation,Michigan Pompon
Creative & Performing Arts,Michigan Pops Orchestra/UAC
Health & Wellness,Michigan Powerlifting
Sport Clubs & Recreation,Michigan Powerlifting
Academic/Honor Societies,Michigan Pre-Law Society
Graduate/Professional,Michigan Pre-Law Society
Science/Technology/Engineering,Michigan Pre-Med Advising Community
Graduate/Professional,Michigan Pre-Med Advising Community
Sport Clubs & Recreation,Michigan Premier League Club
Graduate/Professional,Michigan Private Equity & Venture Capital
Business & Entrepreneurship,Michigan Private Equity & Venture Capital
Science/Technology/Engineering,Michigan Product Management Club
Sport Clubs & Recreation,Michigan Puzzlehunts
Health & Wellness,Michigan Quest for Breath
Service/Service Learning,Michigan Quest for Breath
Academic/Honor Societies,Michigan Real Estate Club
Graduate/Professional,Michigan Real Estate Club
Sport Clubs & Recreation,Michigan Recreational Tennis Club
Activism,Michigan Refugee Assistance Program 
Cultural/Ethnic,Michigan Refugee Assistance Program 
Service/Service Learning,Michigan Refugee Assistance Program 
Academic/Honor Societies,Michigan Research and Discovery Scholars Peer Mentors
Science/Technology/Engineering,Michigan Research and Discovery Scholars Peer Mentors
Sport Clubs & Recreation,Michigan Rifle Team
Academic/Honor Societies,Michigan Robotic Submarine
Science/Technology/Engineering,Michigan Robotic Submarine
Creative & Performing Arts,Michigan Sahana
Cultural/Ethnic,Michigan Sahana
Sport Clubs & Recreation,Michigan Sailing Team
Academic/Honor Societies,Michigan Sales Club
Service/Service Learning,Michigan Sales Club
Health & Wellness,Michigan Sand Volleyball Club
Sport Clubs & Recreation,Michigan Sand Volleyball Club
Science/Technology/Engineering,Michigan Science Writers
Graduate/Professional,Michigan Science Writers
Media & Creative Writing,Michigan Science Writers
Science/Technology/Engineering,Michigan Scuba Club
Health & Wellness,Michigan Scuba Club
Sport Clubs & Recreation,Michigan Scuba Club
Environmental,Michigan Scuba Club
Academic/Honor Societies,Michigan Seismic
Sport Clubs & Recreation,Michigan Ski and Snowboard Club
Sport Clubs & Recreation,Michigan Snowboard Club
Sport Clubs & Recreation,Michigan Soccer Analytics Society
Science/Technology/Engineering,Michigan Solar Sea
Environmental,Michigan Solar Sea
Graduate/Professional,Michigan Sport Business Conference 
Media & Creative Writing,Michigan Sport Business Conference 
Sport Clubs & Recreation,Michigan Sport Business Conference 
Business & Entrepreneurship,Michigan Sport Business Conference 
Academic/Honor Societies,Michigan Sport Consulting Group
Graduate/Professional,Michigan Sport Consulting Group
Sport Clubs & Recreation,Michigan Sport Consulting Group
Business & Entrepreneurship,Michigan Sport Consulting Group
Science/Technology/Engineering,Michigan Sports Analytics Society
Sport Clubs & Recreation,Michigan Sports Analytics Society
Academic/Honor Societies,Michigan Sports Hedge Fund
Academic/Honor Societies,Michigan Sports Law Society
Graduate/Professional,Michigan Sports Law Society
Sport Clubs & Recreation,Michigan Sports Law Society
Academic/Honor Societies,Michigan Stocks and Bonds Organization
Graduate/Professional,Michigan Stocks and Bonds Organization
Business & Entrepreneurship,Michigan Stocks and Bonds Organization
Science/Technology/Engineering,Michigan Strength Augmenting Robotic Exoskeletons
Activism,Michigan Student Appreciation Club
Health & Wellness,Michigan Student Appreciation Club
Service/Service Learning,Michigan Student Appreciation Club
Science/Technology/Engineering,Michigan Student Artificial Intelligence Lab
Sport Clubs & Recreation,Michigan Surf Club
Environmental,Michigan Surf Club
Academic/Honor Societies,Michigan Synthetic Biology Team
Science/Technology/Engineering,Michigan Synthetic Biology Team
Creative & Performing Arts,Michigan Taal
Cultural/Ethnic,Michigan Taal
Sport Clubs & Recreation,Michigan Taal
Cultural/Ethnic,Michigan Table Tennis Club
Health & Wellness,Michigan Table Tennis Club
Sport Clubs & Recreation,Michigan Table Tennis Club
Cultural/Ethnic,Michigan Taiwanese Student Association
Science/Technology/Engineering,Michigan Task Based Robotics
Service/Service Learning,Michigan Task Based Robotics
Sport Clubs & Recreation,Michigan Task Based Robotics
Sport Clubs & Recreation,Michigan Team Handball Club
Science/Technology/Engineering,Michigan Technology Law Review
Graduate/Professional,Michigan Technology Law Review
Department,Michigan Telefund
Graduate/Professional,Michigan Texas Club
Science/Technology/Engineering,Michigan Transportation Student Organization
Graduate/Professional,Michigan Transportation Student Organization
Sport Clubs & Recreation,Michigan UFC Club
Academic/Honor Societies,Michigan Undergraduate Students of Statistics
Science/Technology/Engineering,Michigan Undergraduate Students of Statistics
Graduate/Professional,Michigan Undergraduate Students of Statistics
Science/Technology/Engineering,Michigan Vertical Flight Technology
Graduate/Professional,Michigan Vertical Flight Technology
Media & Creative Writing,Michigan Vertical Flight Technology
Environmental,Michigan Vertical Flight Technology
Activism,Michigan Voting Project
Governance,Michigan Voting Project
Graduate/Professional,Michigan Voting Project
Service/Service Learning,Michigan Voting Project
Activism,Michigan Waffle House
Cultural/Ethnic,Michigan Waffle House
Sport Clubs & Recreation,Michigan Waterski Team
Sport Clubs & Recreation,Michigan Weightlifting
Creative & Performing Arts,Michigan Wolveraas
Cultural/Ethnic,Michigan Wolveraas
Sport Clubs & Recreation,Michigan Wolveraas
Graduate/Professional,Michigan Women Empowerment in Sport and Entertainment
Media & Creative Writing,Michigan Women Empowerment in Sport and Entertainment
Sport Clubs & Recreation,Michigan Women Empowerment in Sport and Entertainment
Health & Wellness,Michigan Yoga Club
Sport Clubs & Recreation,Michigan Yoga Club
Media & Creative Writing,Michiganensian Yearbook
Academic/Honor Societies,Microfluidics in Biomedical Sciences Student Organization
Graduate/Professional,Microfluidics in Biomedical Sciences Student Organization
Activism,Middle Eastern and North African Law Students Association 
Cultural/Ethnic,Middle Eastern and North African Law Students Association 
Graduate/Professional,Middle Eastern and North African Law Students Association 
Creative & Performing Arts,Midnight Book Club
Media & Creative Writing,Midnight Book Club
Sport Clubs & Recreation,Midnight Book Club
Activism,MiHealth
Health & Wellness,MiHealth
Service/Service Learning,MiHealth
Health & Wellness,Mindful Michigan 
Graduate/Professional,Mindful Moments Meditation Group
Health & Wellness,Mindful Moments Meditation Group
Activism,"Minorities in Agriculture, Natural Resources, and Related Sciences of the University of Michigan "
Academic/Honor Societies,"Minorities in Agriculture, Natural Resources, and Related Sciences of the University of Michigan "
Cultural/Ethnic,"Minorities in Agriculture, Natural Resources, and Related Sciences of the University of Michigan "
Science/Technology/Engineering,"Minorities in Agriculture, Natural Resources, and Related Sciences of the University of Michigan "
Graduate/Professional,"Minorities in Agriculture, Natural Resources, and Related Sciences of the University of Michigan "
Health & Wellness,"Minorities in Agriculture, Natural Resources, and Related Sciences of the University of Michigan "
Environmental,"Minorities in Agriculture, Natural Resources, and Related Sciences of the University of Michigan "
Activism,Miss STEM Careers
Science/Technology/Engineering,Miss STEM Careers
Service/Service Learning,Miss STEM Careers
Service/Service Learning,Mission Possible Organization
Activism,Mixed@Michigan
Cultural/Ethnic,Mixed@Michigan
Health & Wellness,Mixed@Michigan
Media & Creative Writing,Mixed@Michigan
Graduate/Professional,Mobility Policy Lab at Michigan
Academic/Honor Societies,Mock Trial Team
Creative & Performing Arts,Mock Trial Team
Graduate/Professional,Mock Trial Team
Activism,Model United Nations at the University of Michigan
Academic/Honor Societies,Model United Nations at the University of Michigan
Governance,Model United Nations at the University of Michigan
Service/Service Learning,Model United Nations at the University of Michigan
Creative & Performing Arts,Moli Performing Art Ensemble
Cultural/Ethnic,Moli Performing Art Ensemble
Health & Wellness,Moli Performing Art Ensemble
Media & Creative Writing,Moli Performing Art Ensemble
Cultural/Ethnic,Mosher Jordan Hall Council
Governance,Mosher Jordan Hall Council
Service/Service Learning,Motley Crew
Cultural/Ethnic,Movement of Under-represented Sisters in Engineering and Science
Science/Technology/Engineering,Movement of Under-represented Sisters in Engineering and Science
Graduate/Professional,Movement of Under-represented Sisters in Engineering and Science
Service/Service Learning,Movement of Under-represented Sisters in Engineering and Science
Gender/Sexuality,Movement of Under-represented Sisters in Engineering and Science
Science/Technology/Engineering,MPowered Entrepreneurship 
Graduate/Professional,MPowered Entrepreneurship 
Business & Entrepreneurship,MPowered Entrepreneurship 
Creative & Performing Arts,Mprov Club
Academic/Honor Societies,MRacing Formula SAE
Science/Technology/Engineering,MRacing Formula SAE
Graduate/Professional,MRacing Formula SAE
Sport Clubs & Recreation,MRacing Formula SAE
Business & Entrepreneurship,MRacing Formula SAE
Health & Wellness,MRun - Running Club at the University of Michigan
Sport Clubs & Recreation,MRun - Running Club at the University of Michigan
Service/Service Learning,MStars for the Make-A-Wish Foundation of Michigan
Creative & Performing Arts,Mswing
Health & Wellness,Mswing
Sport Clubs & Recreation,Mswing
Cultural/Ethnic,MTrek
Graduate/Professional,MTrek
Sport Clubs & Recreation,MTrek
Academic/Honor Societies,Mu Epsilon Delta
Service/Service Learning,Mu Epsilon Delta
Academic/Honor Societies,Multicultural Association of Pre-Health Students
Cultural/Ethnic,Multicultural Association of Pre-Health Students
Science/Technology/Engineering,Multicultural Association of Pre-Health Students
Health & Wellness,Multicultural Association of Pre-Health Students
Service/Service Learning,Multicultural Association of Pre-Health Students
Activism,Multicultural Greek Council
Cultural/Ethnic,Multicultural Greek Council
Governance,Multicultural Greek Council
Social Fraternity/Sorority,Multicultural Greek Council
Activism,Multicultural Pharmacy Student Organization
Cultural/Ethnic,Multicultural Pharmacy Student Organization
Graduate/Professional,Multicultural Pharmacy Student Organization
Health & Wellness,Multicultural Pharmacy Student Organization
Gender/Sexuality,Multicultural Pharmacy Student Organization
Science/Technology/Engineering,Multiple Sclerosis Awareness Association
Health & Wellness,Multiple Sclerosis Awareness Association
Service/Service Learning,Multiple Sclerosis Awareness Association
Creative & Performing Arts,Multiverse Media
Media & Creative Writing,Multiverse Media
Creative & Performing Arts,Music For Dementia 
Health & Wellness,Music For Dementia 
Service/Service Learning,Music For Dementia 
Activism,MUSIC Matters
Creative & Performing Arts,MUSIC Matters
Media & Creative Writing,MUSIC Matters
Service/Service Learning,MUSIC Matters
Cultural/Ethnic,Music Meditation Club
Health & Wellness,Music Meditation Club
Religious/Spiritual,Music Meditation Club
Service/Service Learning,Music Meditation Club
Creative & Performing Arts,Music Teachers National Association Collegiate Chapter 
Graduate/Professional,Music Teachers National Association Collegiate Chapter 
Creative & Performing Arts,MUSKET/UAC
Academic/Honor Societies,Muslim Business Students' Association
Cultural/Ethnic,Muslim Business Students' Association
Graduate/Professional,Muslim Business Students' Association
Religious/Spiritual,Muslim Business Students' Association
Graduate/Professional,Muslim Graduate Students Association
Religious/Spiritual,Muslim Graduate Students Association
Activism,Muslim Law Students Association
Cultural/Ethnic,Muslim Law Students Association
Graduate/Professional,Muslim Law Students Association
Religious/Spiritual,Muslim Law Students Association
Activism,Muslim Students' Association
Media & Creative Writing,Muslim Students' Association
Religious/Spiritual,Muslim Students' Association
Service/Service Learning,Muslim Students' Association
Cultural/Ethnic,National Arab American Medical Association NextGen
Science/Technology/Engineering,National Arab American Medical Association NextGen
Graduate/Professional,National Arab American Medical Association NextGen
Health & Wellness,National Arab American Medical Association NextGen
Activism,National Association for the Advancement of Colored People
Cultural/Ethnic,National Association for the Advancement of Colored People
Governance,National Association for the Advancement of Colored People
Service/Service Learning,National Association for the Advancement of Colored People
Activism,National Council of Negro Women at The University of Michigan
Cultural/Ethnic,National Council of Negro Women at The University of Michigan
Health & Wellness,National Council of Negro Women at The University of Michigan
Service/Service Learning,National Council of Negro Women at The University of Michigan
Gender/Sexuality,National Council of Negro Women at The University of Michigan
Activism,National Lawyers Guild
Graduate/Professional,National Lawyers Guild
Service/Service Learning,National Lawyers Guild
Environmental,National Lawyers Guild
Activism,National Organization of Minority Architecture Students at the University of Michigan Chapter
Creative & Performing Arts,National Organization of Minority Architecture Students at the University of Michigan Chapter
Cultural/Ethnic,National Organization of Minority Architecture Students at the University of Michigan Chapter
Graduate/Professional,National Organization of Minority Architecture Students at the University of Michigan Chapter
Service/Service Learning,National Organization of Minority Architecture Students at the University of Michigan Chapter
Activism,National Pan-Hellenic Council 
Service/Service Learning,National Pan-Hellenic Council 
Social Fraternity/Sorority,National Pan-Hellenic Council 
Academic/Honor Societies,National Security Law Society
Governance,National Security Law Society
Graduate/Professional,National Security Law Society
Academic/Honor Societies,National Society of Black Engineers
Cultural/Ethnic,National Society of Black Engineers
Science/Technology/Engineering,National Society of Black Engineers
Graduate/Professional,National Society of Black Engineers
Service/Service Learning,National Society of Black Engineers
Academic/Honor Societies,National Society of Collegiate Scholars
Service/Service Learning,National Society of Collegiate Scholars
Activism,Native American Law Students Association
Cultural/Ethnic,Native American Law Students Association
Graduate/Professional,Native American Law Students Association
Activism,Native American Student Association 
Creative & Performing Arts,Native American Student Association 
Cultural/Ethnic,Native American Student Association 
Health & Wellness,Native American Student Association 
Religious/Spiritual,Native American Student Association 
Cultural/Ethnic,Nerdfighters at the University of Michigan
Service/Service Learning,Nerdfighters at the University of Michigan
Activism,Net Impact @ Ross
Graduate/Professional,Net Impact @ Ross
Service/Service Learning,Net Impact @ Ross
Environmental,Net Impact @ Ross
Activism,Net Impact Undergrad
Service/Service Learning,Net Impact Undergrad
Environmental,Net Impact Undergrad
Business & Entrepreneurship,Net Impact Undergrad
Creative & Performing Arts,New Beat Happening
Religious/Spiritual,New Life Students
Creative & Performing Arts,New Movement
Health & Wellness,New Movement
Academic/Honor Societies,Nexecon Consulting Group
Graduate/Professional,Nexecon Consulting Group
Business & Entrepreneurship,Nexecon Consulting Group
Health & Wellness,Next Generation Ovarian Cancer Alliance
Service/Service Learning,Next Generation Ovarian Cancer Alliance
Science/Technology/Engineering,NOBCChE at the University of Michigan
Graduate/Professional,NOBCChE at the University of Michigan
Activism,NOiR Runway Fashion
Creative & Performing Arts,NOiR Runway Fashion
Cultural/Ethnic,NOiR Runway Fashion
Media & Creative Writing,NOiR Runway Fashion
Service/Service Learning,NOiR Runway Fashion
Gender/Sexuality,NOiR Runway Fashion
Activism,NORD Students for Rare
Health & Wellness,NORD Students for Rare
Governance,North Quad Hall Council 
Activism,North Quad Multicultural Council
Cultural/Ethnic,North Quad Multicultural Council
Governance,North Quad Multicultural Council
Service/Service Learning,North Star Reach Student Volunteers 
Cultural/Ethnic,Northwood Multicultural and Community Council
Governance,Northwood Multicultural and Community Council
Health & Wellness,Northwood Multicultural and Community Council
Service/Service Learning,Northwood Multicultural and Community Council
Creative & Performing Arts,Not Even Really Drama Students
Media & Creative Writing,Not Even Really Drama Students
Gender/Sexuality,Not Even Really Drama Students
Activism,Nursing Student Government
Governance,Nursing Student Government
Health & Wellness,Nursing Student Government
Graduate/Professional,Nutritional Sciences Student Association
Health & Wellness,Nutritional Sciences Student Association
Graduate/Professional,OB/GYN Interest Group
Department,Office of Greek Life
Graduate/Professional,Older Wiser Law Students
Religious/Spiritual,Olive Tree Ministry
Service/Service Learning,Olive Tree Ministry
Social Fraternity/Sorority,"Omega Beta Eta, Arab Fraternity, Inc. "
Social Fraternity/Sorority,Omega Psi Phi
Graduate/Professional,On the Board
Sport Clubs & Recreation,On the Board
Activism,One for the World Michigan
Service/Service Learning,One for the World Michigan
Activism,One Love at Michigan
Health & Wellness,One Love at Michigan
Gender/Sexuality,One Love at Michigan
Governance,Online MBA Council at Ross
Graduate/Professional,Online MBA Council at Ross
Creative & Performing Arts,Ontaku
Cultural/Ethnic,Ontaku
Graduate/Professional,Open Road at Ross
Service/Service Learning,Operation Graduation
Environmental,Operation Graduation
Health & Wellness,Operation Smile at the University of Michigan
Service/Service Learning,Operation Smile at the University of Michigan
Activism,Opportunities to Educate Children
Cultural/Ethnic,Opportunities to Educate Children
Service/Service Learning,Opportunities to Educate Children
Academic/Honor Societies,Optics Society at the University of Michigan
Graduate/Professional,Optics Society at the University of Michigan
Activism,optiMize
Science/Technology/Engineering,optiMize
Health & Wellness,optiMize
Service/Service Learning,optiMize
Environmental,optiMize
Service/Service Learning,Order of Angell
Academic/Honor Societies,Order of Omega
Social Fraternity/Sorority,Order of Omega
Cultural/Ethnic,Organization in Aid of SPH International Students
Graduate/Professional,Organization in Aid of SPH International Students
Academic/Honor Societies,Organization of Athletic Training Students
Health & Wellness,Organization of Athletic Training Students
Activism,Organization of Public Interest Students
Graduate/Professional,Organization of Public Interest Students
Service/Service Learning,Organization of Public Interest Students
Cultural/Ethnic,Organization of Women Looking for Sisterhood in Chi Upsilon Sigma
Social Fraternity/Sorority,Organization of Women Looking for Sisterhood in Chi Upsilon Sigma
Health & Wellness,Orphan Relief 
Service/Service Learning,Orphan Relief 
Religious/Spiritual,Orthodox Christian Fellowship at the University of Michigan-Ann Arbor
Service/Service Learning,Orthodox Christian Fellowship at the University of Michigan-Ann Arbor
Graduate/Professional,Out For Business
Gender/Sexuality,Out For Business
Graduate/Professional,Out For Business Undergraduate
Gender/Sexuality,Out For Business Undergraduate
Activism,Out in Public
Graduate/Professional,Out in Public
Gender/Sexuality,Out in Public
Activism,"Out in Science, Technology, Engineering, and Mathematics"
Science/Technology/Engineering,"Out in Science, Technology, Engineering, and Mathematics"
Graduate/Professional,"Out in Science, Technology, Engineering, and Mathematics"
Gender/Sexuality,"Out in Science, Technology, Engineering, and Mathematics"
Sport Clubs & Recreation,Outdoor Club at Ross School of Business
Activism,Outlaws
Cultural/Ethnic,Outlaws
Graduate/Professional,Outlaws
Gender/Sexuality,Outlaws
Graduate/Professional,OutMD
Health & Wellness,OutMD
Gender/Sexuality,OutMD
Creative & Performing Arts,Outrage Dance Group
Sport Clubs & Recreation,Outrage Dance Group
Governance,Oxford Hall Council
Activism,Paani
Cultural/Ethnic,Paani
