2018 SOC Code,2018 SOC Major Group,2018 SOC Minor Group,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example
47-3014,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Plaster Tender,
47-3014,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Ship Painter Helper,
47-3014,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Swimming Pool Plasterer Helper,
47-3014,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Wallpaper Hanger Helper,
47-3014,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Wallpaperer Helper,x
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Gas Main Fitter Helper,
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Hydraulic Plumber Helper,
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Industrial Gas Fitter Helper,x
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Marine Pipefitter Helper,x
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Marine Steam Fitter Helper,
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Pipe Fitter Helper,
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Plumber Assistant,x
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Plumber Helper,
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Sewer Pipe Layer Helper,
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Sprinkler Fitter Helper,
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Trench Pipe Layer Helper,
47-3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Water Main Installer Helper,x
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Hot Tar Roofer Helper,x
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Industrial Roofer Helper,
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Residential Roofer Helper,
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Roofer Assistant,
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Roofer Helper,
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Roofing Laborer,
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Shingles Roofer Helper,x
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Slate Roofer Helper,x
47-3016,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Roofers,Terra Cotta Roofer Helper,x
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Boiler Coverer Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Bridge Ironworker Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Carpet Layer Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Cellulose Insulation Helper,x
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Construction Ironworker Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Cork Insulator Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Drywall Hanger Helper,x
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Drywall Stripper Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Drywall Taper Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Heat and Frost Insulator Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",HVAC Sheet Metal Installer Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Linoleum Layer Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Ornamental Ironworker Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Pipe Insulator Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Plate Glass Installer Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Post Tensioning Ironworker Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Rod Buster Helper,x
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Sheet Metal Duct Installer Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Sheet Rock Installation Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Sheet Rock Taper Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Stained Glass Glazier Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Terrazzo Finisher Helper,x
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Terrazzo Layer Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Terrazzo Worker Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Trench Digger Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Wall Taper Helper,
47-3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",Window Glazier Helper,
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Architectural Inspector,
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Bridge Inspector,
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Building Code Inspector,
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Building Inspector,
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Construction Inspector,
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Electrical Inspector,x
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Elevator Inspector,x
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Highway Inspector,x
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Home Inspector,x
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Plumbing Inspector,
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Public Works Inspector,
47-4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,Residential Building Inspector,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Elevator Adjuster,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Elevator Constructor,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Elevator Installer,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Elevator Mechanic,x
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Elevator Repair and Maintenance Technician,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Elevator Service Technician,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Escalator Installer,x
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Escalator Mechanic,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Escalator Service Mechanic,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Freight Elevator Erector,
47-4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator and Escalator Installers and Repairers,Hydraulic Elevator Constructor,x
47-4031,Construction and Extraction Occupations,Other Construction and Related Workers,Fence Erectors,Chain Link Fence Installer,
47-4031,Construction and Extraction Occupations,Other Construction and Related Workers,Fence Erectors,Fence Builder,
47-4031,Construction and Extraction Occupations,Other Construction and Related Workers,Fence Erectors,Wire Fence Builder,x
47-4031,Construction and Extraction Occupations,Other Construction and Related Workers,Fence Erectors,Wood Fence Installer,x
47-4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,Asbestos Abatement Worker,x
47-4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,Asbestos Remover,
47-4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,Decontamination Worker,x
47-4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,Hazard Waste Handler,
47-4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,Hazmat Technician,
47-4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,Irradiated Fuel Handler,x
47-4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,Lead Abatement Worker,
47-4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,Radiological Control and Safety Technician,
47-4051,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers,Highway Maintainer,
47-4051,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers,Highway Maintenance Crew Worker,
47-4051,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers,Highway Worker,
47-4051,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers,Lane Marker Installer,
47-4051,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers,Road Patcher,x
47-4051,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers,Road Sign Installer,x
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Ballast Cleaning Machine Operator,
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Rail Maintenance Worker,x
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Railroad Track Mechanic,
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Track Layer,
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Track Machine Operator,
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Track Maintainer,
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Track Moving Machine Operator,
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Track Repair Worker,
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Track Repairer,x
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Track Service Worker,
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Track Surfacing Machine Operator,x
47-4061,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators,Trackwalker,
47-4071,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners,Electric Sewer Cleaning Machine Operator,x
47-4071,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners,Septic Pump Truck Driver,
47-4071,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners,Septic Tank Cleaner,x
47-4071,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners,Sewage Screen Operator,x
47-4071,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners,Sewer and Drain Technician,
47-4071,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners,Sewer Cleaner,
47-4071,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners,Sewer Pipe Cleaner,
47-4091,Construction and Extraction Occupations,Other Construction and Related Workers,Segmental Pavers,Concrete Pavement Installer,x
47-4091,Construction and Extraction Occupations,Other Construction and Related Workers,Segmental Pavers,Paver Installer,
47-4091,Construction and Extraction Occupations,Other Construction and Related Workers,Segmental Pavers,Paving Stone Installer,x
47-4091,Construction and Extraction Occupations,Other Construction and Related Workers,Segmental Pavers,Segmental Paver Installer,
47-4091,Construction and Extraction Occupations,Other Construction and Related Workers,Segmental Pavers,Segmental Wall Installer,
47-4099,Construction and Extraction Occupations,Other Construction and Related Workers,"Construction and Related Workers, All Other",Aluminum Pool Installer,x
47-4099,Construction and Extraction Occupations,Other Construction and Related Workers,"Construction and Related Workers, All Other",Waterproofer,x
47-5011,Construction and Extraction Occupations,Extraction Workers,"Derrick Operators, Oil and Gas",Derrick Operator,
47-5011,Construction and Extraction Occupations,Extraction Workers,"Derrick Operators, Oil and Gas",Fracturing Derrick Operator,x
47-5011,Construction and Extraction Occupations,Extraction Workers,"Derrick Operators, Oil and Gas",Gas Derrick Operator,
47-5011,Construction and Extraction Occupations,Extraction Workers,"Derrick Operators, Oil and Gas",Oil Derrick Operator,
47-5011,Construction and Extraction Occupations,Extraction Workers,"Derrick Operators, Oil and Gas",Rotary Derrick Operator,x
47-5011,Construction and Extraction Occupations,Extraction Workers,"Derrick Operators, Oil and Gas",Well Service Derrick Worker,x
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Drilling Rig Operator,
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Fracturing Rotary Drill Operator,x
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Natural Gas Shothole Driller,
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Oil Driller,
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Oil Rig Driller,
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Oil Well Cable Tool Driller,
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Oil Well Cable Tool Operator,x
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Oil Well Driller,x
47-5012,Construction and Extraction Occupations,Extraction Workers,"Rotary Drill Operators, Oil and Gas",Prospecting Driller,
47-5013,Construction and Extraction Occupations,Extraction Workers,"Service Unit Operators, Oil and Gas",Oil Well Fishing-Tool Technician,
47-5013,Construction and Extraction Occupations,Extraction Workers,"Service Unit Operators, Oil and Gas",Well Service Pump Equipment Operator,
47-5013,Construction and Extraction Occupations,Extraction Workers,"Service Unit Operators, Oil and Gas",Well Service Rig Operator,
47-5013,Construction and Extraction Occupations,Extraction Workers,"Service Unit Operators, Oil and Gas",Well Services Operator,
47-5013,Construction and Extraction Occupations,Extraction Workers,"Service Unit Operators, Oil and Gas",Well Servicing Rig Operator,x
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Dragline Oiler,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Back Hoe Operator,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Backhoe Operator,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Bulldozer Operator,x
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Earth Moving Equipment Operator,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining End Loader Operator,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Excavator,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Excavator Backhoe Operator,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Payloader Operator,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Shovel Operator,x
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Mining Yard Loader Operator,
47-5022,Construction and Extraction Occupations,Extraction Workers,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Trenching Machine Operator,
47-5023,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas",Blast Hole Driller,x
47-5023,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas",Churn Drill Operator,
47-5023,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas",Churn Driller,x
47-5023,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas",Earth Auger Operator,x
47-5023,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas",Earth Boring Machine Operator,
47-5023,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas",Hard Rock Drill Operator,
47-5023,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas",Rock Drill Operator,
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Blast Setter,x
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Blaster,
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Dynamite Shooter,
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Dynamiter,x
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Explosive Ordnance Handler,
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Explosive Technician,x
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Mining Powder Crew Worker,x
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Tier and Detonator,
47-5032,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters",Unexploded Ordnance Quality Control Worker,
47-5041,Construction and Extraction Occupations,Extraction Workers,Continuous Mining Machine Operators,Bore Miner Operator,
47-5041,Construction and Extraction Occupations,Extraction Workers,Continuous Mining Machine Operators,Continuous Mining Machine Coal Miner,
47-5041,Construction and Extraction Occupations,Extraction Workers,Continuous Mining Machine Operators,Continuous Mining Machine Lode Miner,x
47-5041,Construction and Extraction Occupations,Extraction Workers,Continuous Mining Machine Operators,Continuous Mining Machine Miner,x
47-5041,Construction and Extraction Occupations,Extraction Workers,Continuous Mining Machine Operators,Self-Propelled Mining Machine Operator,x
47-5043,Construction and Extraction Occupations,Extraction Workers,"Roof Bolters, Mining",Roof Bolter Operator,
47-5043,Construction and Extraction Occupations,Extraction Workers,"Roof Bolters, Mining",Roof Bolting Coal Miner,x
47-5043,Construction and Extraction Occupations,Extraction Workers,"Roof Bolters, Mining",Underground Bolting Machine Operator,x
47-5043,Construction and Extraction Occupations,Extraction Workers,"Roof Bolters, Mining",Underground Roof Bolter,x
47-5044,Construction and Extraction Occupations,Extraction Workers,"Loading and Moving Machine Operators, Underground Mining",Coal Hauler Operator,x
47-5044,Construction and Extraction Occupations,Extraction Workers,"Loading and Moving Machine Operators, Underground Mining",Coke Loader,x
47-5044,Construction and Extraction Occupations,Extraction Workers,"Loading and Moving Machine Operators, Underground Mining",Joy Loader,
47-5044,Construction and Extraction Occupations,Extraction Workers,"Loading and Moving Machine Operators, Underground Mining",Load Haul Dump Operator,
47-5044,Construction and Extraction Occupations,Extraction Workers,"Loading and Moving Machine Operators, Underground Mining",Mine Shuttle Car Operator,x
47-5044,Construction and Extraction Occupations,Extraction Workers,"Loading and Moving Machine Operators, Underground Mining",Mobile Bridge Conveyor Operator,x
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Clay Mine Cutting Machine Operator,
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Long Wall Mining Machine Tender,
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Long Wall Operator,x
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Long Wall Plow Operator,
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Long Wall Shear Operator,
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Long Wall Shearer,x
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Mine Cutting and Channeling Machine Operator,
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Rock Dust Sprayer,x
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Rock Duster,
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Shale Planer Operator,
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Shearer Operator,
47-5049,Construction and Extraction Occupations,Extraction Workers,"Underground Mining Machine Operators, All Other",Underground Jumbo Driller,x
47-5051,Construction and Extraction Occupations,Extraction Workers,"Rock Splitters, Quarry",Quarry Chop Saw Operator,x
47-5051,Construction and Extraction Occupations,Extraction Workers,"Rock Splitters, Quarry",Quarry Plug and Feather Driller,x
47-5051,Construction and Extraction Occupations,Extraction Workers,"Rock Splitters, Quarry",Sandstone Splitter,x
47-5071,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas",Gas Floorhand,x
47-5071,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas",Oil and Gas Floorhand,
47-5071,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas",Oil Field Roustabout,x
47-5071,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas",Oil Rig Floorhand,
47-5071,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas",Oil Rig Roughneck,x
47-5071,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas",Roustabout,
47-5071,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas",Roustabout Pusher,
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Blaster Helper,x
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Blasting Helper,
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Boring Machine Operator Helper,
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Continuous Miner Operator Helper,
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Driller Helper,
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Loading Machine Operator Helper,
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Longwall Machine Operator Helper,
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Mining Helper,x
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Roof Bolter Helper,x
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Rotary Drill Operator Helper,
47-5081,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,Shale Planer Operator Helper,
47-5099,Construction and Extraction Occupations,Extraction Workers,"Extraction Workers, All Other",Mine Milling Worker,x
47-5099,Construction and Extraction Occupations,Extraction Workers,"Extraction Workers, All Other",Mine Tailings Worker,x
47-5099,Construction and Extraction Occupations,Extraction Workers,"Extraction Workers, All Other","Muck Hauler, Extraction",
47-5099,Construction and Extraction Occupations,Extraction Workers,"Extraction Workers, All Other","Sand Filler, Extraction",
49-1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers",Automobile Body Repair Supervisor,x
49-1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers",Body Shop Supervisor,
49-1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers",Electronic Maintenance Supervisor,
49-1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers",Fleet Maintenance Supervisor,x
49-1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers","Heating, Ventilation, and Air Conditioning Supervisor",
49-1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers",Oil Field Equipment Mechanic Supervisor,
49-1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers",Railroad Car Repair Supervisor,x
49-1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers",Repair Department Supervisor,
